artist,song,album,label,year,isrc,position,spin_id,playlist_id,show,date,playlist_url
The Pines,Hanging from the Earth,Above the Prairie,Red House Records,2016,USRHR1529104,19,424212573,21209022,WDSE 1033 The North,"Sep 10, 2025",https://spinitron.com/WDSE/pl/21209022/
Humbird,Ghost on the Porch,Right On,Nettwerk Music Group,2024,CAN112400317,20,424212897,21209022,WDSE 1033 The North,"Sep 10, 2025",https://spinitron.com/WDSE/pl/21209022/
POLIÇA,Dreams Go,Dreams Go,Memphis Industries,2025,GBCSG2500045,21,424213142,21209022,WDSE 1033 The North,"Sep 10, 2025",https://spinitron.com/WDSE/pl/21209022/
Lunch Duchess,"Cry, Pt. II",Crying for Fun,Heavy Meadow Records,2019,USHM81979040,22,424213331,21209022,WDSE 1033 The North,"Sep 10, 2025",https://spinitron.com/WDSE/pl/21209022/
Little Black Books,Camp Grenada,Treasure Chest,Various Artists,2006,USX9P0674172,23,424213537,21209022,WDSE 1033 The North,"Sep 10, 2025",https://spinitron.com/WDSE/pl/21209022/
Adam Moe,Fool on the Stool Next To You,Leaving Can't Be Wrong,Adam Moe,2025,USDY42561965,24,424213669,21209022,WDSE 1033 The North,"Sep 10, 2025",https://spinitron.com/WDSE/pl/21209022/
Liz Anderson,The Wife of the Party,The Game of Triangles,SME,2015,USRN11500126,25,424213892,21209022,WDSE 1033 The North,"Sep 10, 2025",https://spinitron.com/WDSE/pl/21209022/
Mark Joseph,Palisade Peach,Palisade Peach,Mark Joseph Music,2023,USHM82303761,26,424214101,21209022,WDSE 1033 The North,"Sep 10, 2025",https://spinitron.com/WDSE/pl/21209022/
Bernie Larsen,Daddy Gone,Inside Outside,spinout records,2004,USCGH0752679,27,424214374,21209022,WDSE 1033 The North,"Sep 10, 2025",https://spinitron.com/WDSE/pl/21209022/
Craig Finn,Luke & Leanna,Always Been,Tamarac,2025,QZNVN2410004,28,424214606,21209022,WDSE 1033 The North,"Sep 10, 2025",https://spinitron.com/WDSE/pl/21209022/
Mark Mallman,Screaming In My Dreams,Magic Time,Hygh Tension Records,2025,USA2P2509852,1,424887190,21243070,WDSE 1033 The North,"Sep 17, 2025",https://spinitron.com/WDSE/pl/21243070/
Rich Mattson and the Northstars,Songs of Chaos,Rich Mattson and the Northstars,Sparta Sound,2015,USCGJ1555559,2,424887503,21243070,WDSE 1033 The North,"Sep 17, 2025",https://spinitron.com/WDSE/pl/21243070/
Shippee,September,It All Started from a Whisper,Shippee,2022,USHM22276096,3,424887913,21243070,WDSE 1033 The North,"Sep 17, 2025",https://spinitron.com/WDSE/pl/21243070/
Portage,Sitting in the Dark,Creatures,Portage,2016,USDY41620490,4,424888210,21243070,WDSE 1033 The North,"Sep 17, 2025",https://spinitron.com/WDSE/pl/21243070/
Breanne Marie & the Front Porch Sinners,Ida Mae,Ida Mae,Breanne Marie & the Front Porch Sinners,2025,USHM92513799,5,424888888,21243070,WDSE 1033 The North,"Sep 17, 2025",https://spinitron.com/WDSE/pl/21243070/
Ross Thorn,What's Up With You?,Fitting In,Ross Thorn / Casa De Copas,2025,QZWDD2598112,6,424889525,21243070,WDSE 1033 The North,"Sep 17, 2025",https://spinitron.com/WDSE/pl/21243070/
Davina and The Vagabonds,Life Lessons,Shoot For The Moon,Roustabout Records,2024,QM6MZ2436934,7,424889820,21243070,WDSE 1033 The North,"Sep 17, 2025",https://spinitron.com/WDSE/pl/21243070/
Ol' Yeller,Jean Jacket Weather,Good Luck,SMA Records,2006,USCGJ0696571,8,424890124,21243070,WDSE 1033 The North,"Sep 17, 2025",https://spinitron.com/WDSE/pl/21243070/
Dead Man Winter,This House Is on Fire,This House Is on Fire,(C) 2017 GNDWire Records,2016,USW2Z1600104,9,424890495,21243070,WDSE 1033 The North,"Sep 17, 2025",https://spinitron.com/WDSE/pl/21243070/
Chastity Brown,House Been Burning,Back-Road Highways,Creative and Dreams Music Network,2012,USGRX1200701,10,424890764,21243070,WDSE 1033 The North,"Sep 17, 2025",https://spinitron.com/WDSE/pl/21243070/
Emily Haavik,If I Were a Ghost,If I Were a Ghost,Emily Haavik,2025,USDY42522307,11,424891252,21243070,WDSE 1033 The North,"Sep 17, 2025",https://spinitron.com/WDSE/pl/21243070/
Sarah Krueger,Lost Souls Move South,Dancing With Phantoms,Sarah Krueger,2011,USHM91161349,12,424891432,21243070,WDSE 1033 The North,"Sep 17, 2025",https://spinitron.com/WDSE/pl/21243070/
she's green,Graze,Graze,Photo Finish Records,2025,QZ47A2500100,13,424891623,21243070,WDSE 1033 The North,"Sep 17, 2025",https://spinitron.com/WDSE/pl/21243070/
Pert Near Sandstone,Bloom Again,Discovery of Honey,Pert Near Music,2016,USW2Z1600056,14,424892040,21243070,WDSE 1033 The North,"Sep 17, 2025",https://spinitron.com/WDSE/pl/21243070/
The Jayhawks,Dying On The Vine,Sound Of Lies,American Recordings Catalog P&D,2013,USSM19605659,15,424892276,21243070,WDSE 1033 The North,"Sep 17, 2025",https://spinitron.com/WDSE/pl/21243070/
Saltydog,Rodeo,Pepper,DISTROKID,2024,QZBLV1800052,16,424892616,21243070,WDSE 1033 The North,"Sep 17, 2025",https://spinitron.com/WDSE/pl/21243070/
Àlamode,Find You,Swell,,2018,usl4q1776996,17,424893001,21243070,WDSE 1033 The North,"Sep 17, 2025",https://spinitron.com/WDSE/pl/21243070/
Your Smith,Mr. Revival,Mr. Revival,Nettwerk Music Group,2025,CAN112500556,18,424893219,21243070,WDSE 1033 The North,"Sep 17, 2025",https://spinitron.com/WDSE/pl/21243070/
Hoopsnakes,Home Away from Home,Jump in & Hang On,Mouthpiece,1994,,19,424893752,21243070,WDSE 1033 The North,"Sep 17, 2025",https://spinitron.com/WDSE/pl/21243070/
Remo Drive,New In Town,All You'll Ever Catch,Epitaph,2023,USEP42334009,20,424894048,21243070,WDSE 1033 The North,"Sep 17, 2025",https://spinitron.com/WDSE/pl/21243070/
Bruce Lazarus,Song of the Earth,Song of the Earth,Consider It Correspondence,2016,USCGH1216003,1,425561732,21276912,WDSE 1033 The North,"Sep 24, 2025",https://spinitron.com/WDSE/pl/21276912/
Keith Secola,Plane Anxiety,Circle,Keith Secola,1992,USCGJ0672208,2,425562015,21276912,WDSE 1033 The North,"Sep 24, 2025",https://spinitron.com/WDSE/pl/21276912/
GB Leighton,Fly My Plane,It's All Good,Moonsong Records,2000,QMFMG1409372,3,425562227,21276912,WDSE 1033 The North,"Sep 24, 2025",https://spinitron.com/WDSE/pl/21276912/
Erik Koskinen,Big Plane,Burning the Deal,Erik Koskinen / Tone Tree Music,2019,TCAED1910190,4,425562996,21276912,WDSE 1033 The North,"Sep 24, 2025",https://spinitron.com/WDSE/pl/21276912/
Roma di Luna,In the Aeroplane Over the Sea,Find Your Way Home,Independent,2007,USTC30706716,5,425563405,21276912,WDSE 1033 The North,"Sep 24, 2025",https://spinitron.com/WDSE/pl/21276912/
Humbird,Eve Boards a Train,Pharmakon,DISTROKID,2019,QZEYD1800003,6,425563977,21276912,WDSE 1033 The North,"Sep 24, 2025",https://spinitron.com/WDSE/pl/21276912/
Ross Thorn,Old Black Train,Hugo,Ross Thorn / Casa De Copas,2023,USLZJ2343609,7,425564237,21276912,WDSE 1033 The North,"Sep 24, 2025",https://spinitron.com/WDSE/pl/21276912/
Dem Atlas,Early Train - Instrumental,Bad Actress (Instrumental Version),New Release,2018,USBWK1800167,8,425565149,21276912,WDSE 1033 The North,"Sep 24, 2025",https://spinitron.com/WDSE/pl/21276912/
White Iron Band,What Train My Daddy's On,Damn the Nighttime,White Iron Band,2012,USCGH1305661,9,425565377,21276912,WDSE 1033 The North,"Sep 24, 2025",https://spinitron.com/WDSE/pl/21276912/
Black Eyed Snakes,Big Black Train,It's The Black Eyed Snakes,Chairkickers Union Music,2005,USBXQ0510003,10,425565675,21276912,WDSE 1033 The North,"Sep 24, 2025",https://spinitron.com/WDSE/pl/21276912/
Charlie Parr,Migrant Boxcar Train,1922,Charlie Parr,2007,NZAM00800900,11,425566091,21276912,WDSE 1033 The North,"Sep 24, 2025",https://spinitron.com/WDSE/pl/21276912/
Ellis,Train Song,Blueprint Live,Rubberneck Records,1998,USHM20421414,12,425566347,21276912,WDSE 1033 The North,"Sep 24, 2025",https://spinitron.com/WDSE/pl/21276912/
Haley Bonar,Car Wreck,...The Size of Planets,Chairkickers Union Music,2003,USBXQ0510082,13,425566917,21276912,WDSE 1033 The North,"Sep 24, 2025",https://spinitron.com/WDSE/pl/21276912/
Keep for Cheap,FedEx,FedEx,Keep for Cheap,2024,SEYOK2414759,14,425567174,21276912,WDSE 1033 The North,"Sep 24, 2025",https://spinitron.com/WDSE/pl/21276912/
The Pistol Whippin' Party Penguins,New Car,Leave Me Blue,the Pistol Whippin Party Penguins,2010,USHM21085573,15,425567452,21276912,WDSE 1033 The North,"Sep 24, 2025",https://spinitron.com/WDSE/pl/21276912/
The Fractals,My T-Bird,Death by Fender,The Fractals,2010,USHM21001206,16,425568051,21276912,WDSE 1033 The North,"Sep 24, 2025",https://spinitron.com/WDSE/pl/21276912/
Red Mountain,Bad Advice,Scowl Lightly,Chaperone Records,2013,QMKRM1400008,1,426239709,21310950,WDSE 1033 The North,"Oct 1, 2025",https://spinitron.com/WDSE/pl/21310950/
Trampled By Turtles,Drinkin in the Morning,Songs from a Ghost Town,Banjodad Records,2004,USHM20576343,2,426239879,21310950,WDSE 1033 The North,"Oct 1, 2025",https://spinitron.com/WDSE/pl/21310950/
Alan Sparhawk,I Made This Beat,"White Roses, My God",Sub Pop Records,2024,USSUB2465502,3,426240248,21310950,WDSE 1033 The North,"Oct 1, 2025",https://spinitron.com/WDSE/pl/21310950/
Al Church,(Cry) [Dance],Party Sounds (From Another Room),DISTROKID,2023,QZES92368543,4,426240357,21310950,WDSE 1033 The North,"Oct 1, 2025",https://spinitron.com/WDSE/pl/21310950/
Mark Mallman,Stimulate,Stimulate,Hygh Tension Records,2025,USA2P2509855,5,426240599,21310950,WDSE 1033 The North,"Oct 1, 2025",https://spinitron.com/WDSE/pl/21310950/
José James,Saturday Night (Need You Now),Saturday Night (Need You Now),Universal Music LLC,2024,QZBBC1800203,6,426240865,21310950,WDSE 1033 The North,"Oct 1, 2025",https://spinitron.com/WDSE/pl/21310950/
Your Smith,Telephone Line - Hanging Up All My Hopes,The Rub,Nettwerk Music Group,2025,CAN112500552,7,426241159,21310950,WDSE 1033 The North,"Oct 1, 2025",https://spinitron.com/WDSE/pl/21310950/
Dessa,The Lamb,Parts of Speech,"Doomtree Records, LLC",2013,USQY51336929,8,426241413,21310950,WDSE 1033 The North,"Oct 1, 2025",https://spinitron.com/WDSE/pl/21310950/
The Cactus Blossoms,Got a Lotta Love,Got a Lotta Love,Walkie Talkie Records,2019,USA2B1804071,9,426241786,21310950,WDSE 1033 The North,"Oct 1, 2025",https://spinitron.com/WDSE/pl/21310950/
